Data from https://lasp.colorado.edu/lisird/data/cls_radio_flux_f107/
time (yyyy-MM-dd'T'HH:mm:ss.SSS),adjusted_f107 (solar flux unit (SFU)),adjusted_f107_c (solar flux unit (SFU)),adjusted_f107_p (solar flux unit (SFU)),adjusted_f107_f
2000-11-09T00:00:00.000,163.0,163.0,7.7,0
2000-11-10T00:00:00.000,150.4,150.4,7.7,0
2000-11-11T00:00:00.000,146.6,146.6,7.7,0
2000-11-12T00:00:00.000,143.6,143.6,7.7,0
2000-11-13T00:00:00.000,140.6,140.6,7.7,0
2000-11-14T00:00:00.000,145.4,145.4,7.6,0
2000-11-15T00:00:00.000,143.2,143.2,7.6,0
2000-11-16T00:00:00.000,150.7,150.7,7.6,0
2000-11-17T00:00:00.000,159.6,159.6,7.6,0
2000-11-18T00:00:00.000,172.9,172.9,7.6,0
2000-11-19T00:00:00.000,170.7,170.7,7.6,0
2000-11-20T00:00:00.000,169.6,169.6,7.6,0
2000-11-21T00:00:00.000,180.9,180.9,7.6,0
2000-11-22T00:00:00.000,190.1,190.1,7.6,0
2000-11-23T00:00:00.000,200.1,200.1,7.6,0
2000-11-24T00:00:00.000,192.1,192.1,7.6,0
2000-11-25T00:00:00.000,197.0,197.0,7.6,0
2000-11-26T00:00:00.000,197.0,197.0,7.6,0
2000-11-27T00:00:00.000,186.6,186.6,7.6,0
2000-11-28T00:00:00.000,190.3,190.3,7.7,0
2000-11-29T00:00:00.000,183.2,183.2,7.7,0
2000-11-30T00:00:00.000,187.0,187.0,7.7,0
2000-12-01T00:00:00.000,179.3,179.3,7.7,0
2000-12-02T00:00:00.000,162.3,162.3,7.7,0
2000-12-03T00:00:00.000,158.9,158.9,7.6,0
2000-12-04T00:00:00.000,147.6,147.6,7.6,0
2000-12-05T00:00:00.000,142.7,142.7,7.6,0
2000-12-06T00:00:00.000,136.9,136.9,7.6,0
2000-12-07T00:00:00.000,139.9,139.9,7.5,0
2000-12-08T00:00:00.000,134.1,134.1,7.5,0
2000-12-09T00:00:00.000,130.7,130.7,7.5,0
2000-12-10T00:00:00.000,142.1,142.1,7.5,0
2000-12-11T00:00:00.000,139.2,139.2,7.4,0
2000-12-12T00:00:00.000,145.2,145.2,7.4,0
2000-12-13T00:00:00.000,159.5,159.5,7.4,0
2000-12-14T00:00:00.000,176.5,176.5,7.4,0
2000-12-15T00:00:00.000,181.9,181.9,7.4,0
2000-12-16T00:00:00.000,184.4,184.4,7.4,0
2000-12-17T00:00:00.000,190.4,190.4,7.4,0
2000-12-18T00:00:00.000,191.6,191.6,7.4,0
2000-12-19T00:00:00.000,192.2,192.2,7.5,0
2000-12-20T00:00:00.000,194.8,194.8,7.5,0
2000-12-21T00:00:00.000,188.2,188.2,7.5,0
2000-12-22T00:00:00.000,183.8,183.8,7.5,0
2000-12-23T00:00:00.000,184.7,184.7,7.5,0
2000-12-24T00:00:00.000,186.7,186.7,7.5,0
2000-12-25T00:00:00.000,180.9,180.9,7.5,0
2000-12-26T00:00:00.000,182.6,182.6,7.5,0
2000-12-27T00:00:00.000,181.4,181.4,7.5,0
2000-12-28T00:00:00.000,179.3,179.3,7.5,0
2000-12-29T00:00:00.000,175.5,175.5,7.5,0
2000-12-30T00:00:00.000,176.1,176.1,7.5,0
2000-12-31T00:00:00.000,163.9,163.9,7.5,0
2001-01-01T00:00:00.000,165.3,165.3,7.5,0
2001-01-02T00:00:00.000,170.2,170.2,7.5,0
2001-01-03T00:00:00.000,164.2,164.2,7.5,0
2001-01-04T00:00:00.000,168.8,168.8,7.5,0
2001-01-05T00:00:00.000,170.5,170.5,7.5,0
2001-01-06T00:00:00.000,173.4,173.4,7.5,0
2001-01-07T00:00:00.000,170.9,170.9,7.5,0
2001-01-08T00:00:00.000,161.5,161.5,7.5,0
2001-01-09T00:00:00.000,160.8,160.8,7.5,0
2001-01-10T00:00:00.000,157.4,157.4,7.5,0
2001-01-11T00:00:00.000,160.5,160.5,7.4,0
2001-01-12T00:00:00.000,172.5,172.5,7.4,0
2001-01-13T00:00:00.000,178.3,178.3,7.5,0
2001-01-14T00:00:00.000,170.6,170.6,7.4,0
2001-01-15T00:00:00.000,163.8,163.8,7.4,0
2001-01-16T00:00:00.000,156.6,156.6,7.4,0
2001-01-17T00:00:00.000,147.0,147.0,7.4,0
2001-01-18T00:00:00.000,146.6,146.6,7.4,0
2001-01-19T00:00:00.000,147.7,147.7,7.4,0
2001-01-20T00:00:00.000,148.3,148.3,7.3,0
2001-01-21T00:00:00.000,146.7,146.7,7.3,0
2001-01-22T00:00:00.000,157.1,157.1,7.3,0
2001-01-23T00:00:00.000,162.0,162.0,7.3,0
2001-01-24T00:00:00.000,167.2,167.2,7.3,0
2001-01-25T00:00:00.000,163.4,163.4,7.3,0
2001-01-26T00:00:00.000,160.5,160.5,7.3,0
2001-01-27T00:00:00.000,161.8,161.8,7.3,0
2001-01-28T00:00:00.000,162.6,162.6,7.3,0
2001-01-29T00:00:00.000,160.5,160.5,7.3,0
2001-01-30T00:00:00.000,154.9,154.9,7.3,0
2001-01-31T00:00:00.000,148.8,148.8,7.2,0
2001-02-01T00:00:00.000,156.2,156.2,7.2,0
2001-02-02T00:00:00.000,161.6,161.6,7.2,0
2001-02-03T00:00:00.000,159.0,159.0,7.2,0
2001-02-04T00:00:00.000,144.0,144.0,7.2,0
2001-02-05T00:00:00.000,160.7,160.7,7.2,0
2001-02-06T00:00:00.000,165.3,165.3,7.2,0
2001-02-07T00:00:00.000,159.6,159.6,7.2,0
2001-02-08T00:00:00.000,152.3,152.3,7.2,0
2001-02-09T00:00:00.000,158.1,158.1,7.2,0
2001-02-10T00:00:00.000,156.5,156.5,7.2,0
2001-02-11T00:00:00.000,147.4,147.4,7.2,0
2001-02-12T00:00:00.000,140.9,140.9,7.1,0
2001-02-13T00:00:00.000,137.8,137.8,7.1,0
2001-02-14T00:00:00.000,134.6,134.6,7.1,0
2001-02-15T00:00:00.000,131.8,131.8,7.1,0
2001-02-16T00:00:00.000,126.5,126.5,7.0,0
2001-02-17T00:00:00.000,126.8,126.8,7.0,0
2001-02-18T00:00:00.000,129.0,129.0,7.0,0
2001-02-19T00:00:00.000,134.0,134.0,7.0,0
2001-02-20T00:00:00.000,142.3,142.3,6.9,0
2001-02-21T00:00:00.000,140.5,140.5,6.9,0
2001-02-22T00:00:00.000,142.7,142.7,6.9,0
2001-02-23T00:00:00.000,142.2,142.2,6.9,0
2001-02-24T00:00:00.000,134.6,134.6,6.9,0
2001-02-25T00:00:00.000,132.2,132.2,6.8,0
2001-02-26T00:00:00.000,132.8,132.8,6.8,0
2001-02-27T00:00:00.000,128.1,128.1,6.8,0
2001-02-28T00:00:00.000,129.4,129.4,6.8,0
2001-03-01T00:00:00.000,129.0,129.0,6.8,0
2001-03-02T00:00:00.000,127.4,127.4,6.7,0
2001-03-03T00:00:00.000,137.3,137.3,6.7,0
2001-03-04T00:00:00.000,138.7,138.7,6.7,0
2001-03-05T00:00:00.000,153.4,153.4,6.7,0
2001-03-06T00:00:00.000,155.4,155.4,6.7,0
2001-03-07T00:00:00.000,174.0,174.0,6.7,0
2001-03-08T00:00:00.000,164.8,164.8,6.7,0
2001-03-09T00:00:00.000,159.2,159.2,6.7,0
2001-03-10T00:00:00.000,158.0,158.0,6.7,0
2001-03-11T00:00:00.000,155.8,155.8,6.7,0
2001-03-12T00:00:00.000,155.7,155.7,6.7,0
2001-03-13T00:00:00.000,145.6,145.6,6.7,0
2001-03-14T00:00:00.000,140.7,140.7,6.7,0
2001-03-15T00:00:00.000,134.7,134.7,6.7,0
2001-03-16T00:00:00.000,138.5,138.5,6.6,0
2001-03-17T00:00:00.000,132.9,132.9,6.6,0
2001-03-18T00:00:00.000,138.5,138.5,6.6,0
